idProducto,codigo,nombre,marca,categoria
1,AC00003,Queso Camembert kaserei champiñón ,MONTICELLO,Charcutería
2,AC00004,Servilletas familia acolcha max  decor dulce hogar ,ZORBA,Limpieza de cocina
3,AC00005,Cerveza Hofbrau Munchen Dunkel botella ,ZENU,Vinos y Licores
4,AC00006,Vino gato blanco ,CREM HELADO,Vinos y Licores
5,AC00007,Caiman Shock moka moa mini ,UBL,Belleza
6,AC00008,Cerveza paulaner weissbier botella ,ZENU,Vinos y Licores
7,AC00009,Vino espumoso barón de rothberg Brut ,SINFONIA,Vinos y Licores
8,AC00010,"Gaseosa Postobon uva cero calorías 1,5 litros",COCA COLA,Bebidas
9,AC00012,Ambientador Bonaire concentrado tropical breeze ,BON AIRE,Aseo de hogar
10,AC00013,Pina colada Jonnyki ,COLOMBINA,Vinos y Licores
11,AC00014,Cerveza Miller Genuine Draft Bot. ,ZENU,Vinos y Licores
12,AC00017,Papel Zeux aluminio esterilizado ,ZORBA,Limpieza de cocina
13,AC00018,Gaseosa Pepsi light ,BRETANA,Bebidas
14,AC00019,Lavalozas Líquido Dawn Ultra aroma original ,PASCO,Limpieza de cocina
15,AC00021,Cerveza liefmans fruitesse botella,ZENU,Vinos y Licores
16,AC00022,Lavaplatos Líquido Axion Limón Espuma Activa 1500ml,PASCO,Limpieza de cocina
17,AC00023,Aguardiente sin azúcar vidrio ,MIMOS,Vinos y Licores
18,AC00024,Queso crema con pimienta rosa quescrem,LA FACTORIA,Charcutería
19,AC00026,Pimentón ahumado Ulas ,VILASECA,Charcutería
20,AC00028,Caucho Shock beige surtido ,UBL,Belleza
21,AC00029,Toallas Húmedas Desinfectantes Familia Hogar Repuesto Lavanda ,ETERNA,Limpieza de cocina
22,AC00031,Lavaloza Top Terra hogar ecodrops liquido doypack ,PARMALAT,Limpieza de cocina
23,AC00032,Vino Finca nueva rioja botella ,CREM HELADO,Vinos y Licores
24,AC00033,Velvet Shock caucho blister ,TRIM,Belleza
25,AC00034,Filtro Stilocafe papel no.2 ,COLANTA,Limpieza de cocina
26,AC00038,Gaseosa Postobon surtida ,COCA COLA,Bebidas
27,AC00039,Cepillo Shock plástico pastel cojín sirena,UBL,Belleza
28,AC00040,Aguardiente Néctar Club tetra pack ,CREM HELADO,Vinos y Licores
29,AC00042,Salsa de ciruela Ulas ,KOLLER,Charcutería
30,AC00043,Paté de Queso ,LA FACTORIA,Charcutería
31,AC00044,Cerveza Club Colombia Negra Botella ,RAPIYUCA,Vinos y Licores
32,AC00046,Gaseosa Pepsi Jumbo ,7 UP,Bebidas
33,AC00047,Gaseosa uva Fanta ,COLOMBIANA,Bebidas
34,AC00048,Vino espumoso blanco Anna Codorniu brut botella ,SINFONIA,Vinos y Licores
35,AC00050,Servilletas Familia AcolchaMAX Famitaco Medianas ,FINESSE,Limpieza de cocina
36,AC00051,Cerveza Club Colombia trigo raíces ,PAPAFACIL,Vinos y Licores
37,AC00053,Cerveza Lager 5% Puls En Lata Bandeja ,PASTICHELI,Vinos y Licores
38,AC00055,Coctel Carinoso tinto verano botella. ,MIMOS,Vinos y Licores
39,AC00056,Queso crema natural quescrem,KOLLER,Charcutería
40,AC00057,Queso Azul Danés Centurion Premium ,DINARDI,Charcutería
41,AC00060,Caiman Shock Premium animal print,UBL,Belleza
42,AC00061,Cerveza Kostritzer Schwarzber Lata ,PASTICHELI,Vinos y Licores
43,AC00062,Crema al queso azul ,DELIPAVO,Charcutería
44,AC00064,Ambientador Spray Frescura Ambiental Frutos Rojos Bonaire ,BONAIRE,Aseo de hogar
45,AC00065,Pack 3 sabores surtidos  gatorade 500 ml,POSTOBON,Bebidas
46,AC00066,Aromatizante De Ambiente En Aerosol Campos De Lavanda Rociado Fácil Glade,GLADE,Aseo de hogar
47,AC00068,Cauchos pretty citrus combinados ,FREESTYLE,Belleza
48,AC00069,Queso Crema de emmental reny picot,NOEL,Charcutería
49,AC00071,Toalla Familia acolchamax mega rollo ,YOX,Limpieza de cocina
50,AC00072,Ambientador Spray Frescura Ambiental Baby Fresh Bonaire ,GLADE,Aseo de hogar
51,AC00074,Lavaplatos Líquido Axion Fusión de Limpieza Bicarbonato y Toronja 750ml,PASCO,Limpieza de cocina
52,AC00075,Aperitivo Amaretto Convier ,MIMOS,Vinos y Licores
53,AC00076,Papel aluminio domingo repuesto 7 m,YOX,Limpieza de cocina
54,AC00078,Powerade Ion 4 Muntainblast ,FANTA,Bebidas
55,AC00079,Vino moscatel Los Monjes ,RAPIPAPA,Vinos y Licores
56,AC00080,Cerveza Miller Lite Lata ,ZENU,Vinos y Licores
57,AC00081,Base coctel Master Of Mixes margarita ,MIMOS,Vinos y Licores
58,AC00082,Cerveza rubia premium lager BBC ,FRUTOS DELMAIPO,Vinos y Licores
59,AC00083,Cerveza Leffe blonde rubia ,ZENU,Vinos y Licores
60,AC00084,Ambientador Varitas Frescura Vainilla Bonaire ,BONAIRE,Aseo de hogar
61,AC00085,Cerveza roja Monserrate BBC ,PESQUERA DEL MAR,Vinos y Licores
62,AC00086,Cerveza Sol botella ,MC CAIN,Vinos y Licores
63,AC00087,Lonchitas de queso cheddar centurion green line ,DELIPAVO,Charcutería
64,AC00088,Vino espumoso Barón de Rothberg rose ,SINFONIA,Vinos y Licores
65,AC00089,Paño Scott duramax 3D semidesechables ,COLACTEOS,Limpieza de cocina
66,AC00090,Bebida carbonatada Bretaña ,POSTOBON,Bebidas
67,AC00091,Concentrado Finest Call fruta granadina ,COLOMBINA,Vinos y Licores
